Model Name,Price,Manufacturing_year,Engine capacity,Spare key,Transmission,KM driven,Ownership,Fuel type,Imperfections,Repainted Parts
2016 Maruti Baleno DELTA CVT PETROL 1.2,522000,2016,1197,Yes,Automatic,34019,1,Petrol,15,2
2017 Maruti Vitara Brezza VDI,625000,2017,1248,No,Manual,53293,1,Diesel,25,3
2015 Maruti Baleno ZETA DIESEL 1.3,526000,2015,1248,Yes,Manual,56687,1,Diesel,9,6
2022 Maruti BREZZA ZXI SMART HYBRID,1159000,2022,1462,Yes,Manual,5377,1,Petrol,1,1
2021 Maruti Alto LXI,334000,2021,796,Yes,Manual,26866,1,Petrol,8,9
2014 Maruti Ertiga VXI CNG,586000,2014,1373,Yes,Manual,62157,2,CNG,16,6
2023 Maruti New Wagon-R LXI 1.0,589000,2023,998,Yes,Manual,1958,1,Petrol,4,0
2019 Maruti Baleno DELTA CVT PETROL 1.2,600000,2019,1197,Yes,Automatic,16547,2,Petrol,3,9
2017 Maruti Wagon R 1.0 LXI CNG,376000,2017,998,Yes,Manual,57012,2,CNG,13,2
2016 Maruti Celerio ZXI AMT,385000,2016,998,Yes,Automatic,76727,1,Petrol,17,3
2021 Maruti Ciaz DELTA 1.5 SHVS MT PETROL,773000,2021,1462,Yes,Manual,30926,1,Petrol,3,2
2018 Maruti Baleno ALPHA CVT PETROL 1.2,580000,2018,1197,Yes,Automatic,44613,2,Petrol,5,8
2015 Maruti Celerio VXI AMT,327000,2015,998,Yes,Automatic,73092,2,Petrol,29,1
2014 Maruti Swift VXI,371000,2014,1197,No,Manual,53120,1,Petrol,5,3
2017 Maruti Wagon R 1.0 VXI,380000,2017,998,No,Manual,22280,1,Petrol,6,1
2014 Maruti Wagon R 1.0 LXI CNG,288000,2014,998,No,Manual,99498,2,CNG,19,2
2017 Maruti Wagon R 1.0 LXI CNG,376000,2017,998,Yes,Manual,56359,2,CNG,9,4
2019 Maruti Celerio VXI CNG,518000,2019,998,Yes,Manual,35436,1,CNG,3,3
2013 Maruti Wagon R Stingray VXI,295000,2013,998,No,Manual,35954,1,Petrol,25,3
2016 Maruti Swift Dzire VXI,439000,2016,1197,No,Manual,49757,2,Petrol,27,4
2020 Maruti S Cross ALPHA AT SMART HYBRID,1006000,2020,1462,Yes,Automatic,29624,1,Petrol,2,0
2020 Maruti S PRESSO VXI CNG,401000,2020,998,No,Manual,66992,1,CNG,4,2
2015 Maruti Wagon R 1.0 VXI,305000,2015,998,No,Manual,28048,2,Petrol,16,4
2015 Maruti Ertiga ZDI,725000,2015,1248,No,Manual,74875,1,Diesel,17,10
2018 Maruti Ciaz ZETA 1.5 SHVS MT PETROL,706000,2018,1462,Yes,Manual,18001,1,Petrol,12,1
2021 Maruti Ciaz SIGMA 1.5 SHVS MT PETROL,755000,2021,1462,Yes,Manual,16909,1,Petrol,8,0
2017 Maruti Swift VXI,474000,2017,1197,No,Manual,57535,2,Petrol,16,0
2017 Maruti IGNIS DELTA 1.2,431000,2017,1197,No,Manual,56219,2,CNG,27,0
2015 Maruti Wagon R 1.0 VXI,338000,2015,998,No,Manual,16624,1,Petrol,5,2
2017 Maruti Baleno DELTA PETROL 1.2,506000,2017,1197,Yes,Manual,62669,1,Petrol,20,4
2013 Maruti Swift Dzire ZDI,438000,2013,1248,Yes,Manual,120050,1,Diesel,25,16
2018 Maruti Wagon R 1.0 LXI CNG,408000,2018,998,Yes,Manual,98745,1,CNG,12,4
2021 Maruti New Wagon-R ZXI 1.2 AMT,609000,2021,1197,Yes,Automatic,34224,1,Petrol,1,3
2021 Maruti Baleno ZETA PETROL 1.2,716000,2021,1197,Yes,Manual,14955,1,Petrol,1,1
2012 Maruti Swift Dzire ZXI,334000,2012,1197,Yes,Manual,60719,1,Petrol,22,4
2015 Maruti Baleno ALPHA DIESEL 1.3,546000,2015,1248,Yes,Manual,59958,2,Diesel,16,2
2018 Maruti Baleno ALPHA CVT PETROL 1.2,607000,2018,1197,Yes,Automatic,33155,2,Petrol,4,0
2013 Maruti Wagon R 1.0 VXI,275000,2013,998,No,Manual,45304,1,Petrol,13,12
2013 Maruti Ertiga ZXI,513000,2013,1373,Yes,Manual,41016,2,Petrol,14,4
2015 Maruti Ertiga ZXI,651000,2015,1373,Yes,Manual,48033,1,Petrol,19,1
2019 Maruti S PRESSO VXI PLUS AMT,427000,2019,998,Yes,Automatic,21125,1,Petrol,9,0
2021 Maruti New Wagon-R VXI (O) 1.2,468000,2021,1197,Yes,Manual,19528,2,Petrol,4,0
2020 Maruti Ciaz ALPHA AT 1.5 SHVS PETROL,866000,2020,1462,Yes,Automatic,23697,1,Petrol,23,3
2012 Maruti Wagon R 1.0 VXI,239000,2012,998,No,Manual,43569,2,Petrol,19,2
2019 Maruti Baleno ZETA CVT PETROL 1.2,708000,2019,1197,Yes,Automatic,24684,1,Petrol,3,0
2015 Maruti Wagon R 1.0 VXI,341000,2015,998,No,Manual,34384,1,Petrol,12,0
2022 Maruti S PRESSO VXI+,476000,2022,998,Yes,Manual,10815,1,Petrol,9,0
2017 Maruti Baleno DELTA PETROL 1.2,525000,2017,1197,No,Manual,29835,1,Petrol,5,6
2021 Maruti New Wagon-R LXI CNG (O) 1.0,587000,2021,998,Yes,Manual,13106,1,CNG,7,3
2021 Maruti S PRESSO VXI (O) CNG,480000,2021,998,No,Manual,48375,1,CNG,1,2
2019 Maruti New Wagon-R VXI (O) 1.2,476000,2019,1197,Yes,Manual,25824,1,Petrol,0,0
2017 Maruti Wagon R 1.0 VXI AMT,375000,2017,998,Yes,Automatic,84486,1,Petrol,1,0
2019 Maruti IGNIS ALPHA 1.2,529000,2019,1197,Yes,Manual,22343,2,Petrol,14,2
2019 Maruti Ciaz DELTA AT 1.5 SHVS PETROL,643000,2019,1462,No,Automatic,54408,2,Petrol,13,4
2017 Maruti IGNIS ZETA 1.2 AMT DUAL TONE,465000,2017,1197,No,Automatic,38048,2,Petrol,22,2
2017 Maruti IGNIS DELTA 1.2,432000,2017,1197,Yes,Manual,30176,1,Petrol,10,4
2017 Maruti Baleno DELTA PETROL 1.2,515000,2017,1197,Yes,Manual,30064,2,Petrol,4,1
2021 Maruti Ciaz DELTA AT 1.5 SHVS PETROL,865000,2021,1462,Yes,Automatic,29291,1,Petrol,2,0
2014 Maruti Celerio VXI AMT,318000,2014,998,No,Automatic,98502,1,Petrol,0,0
2021 Maruti New Wagon-R LXI CNG 1.0,562000,2021,998,Yes,Manual,23233,1,CNG,9,4
2022 Maruti New Wagon-R ZXI 1.2,587000,2022,1197,Yes,Manual,20987,1,Petrol,1,0
2017 Maruti IGNIS ZETA 1.2 AMT DUAL TONE,478000,2017,1197,Yes,Automatic,19428,2,Petrol,3,4
2021 Maruti Ciaz ALPHA AT 1.5 SHVS PETROL,945000,2021,1462,Yes,Automatic,33706,1,Petrol,22,1
2021 Maruti Ciaz DELTA AT 1.5 SHVS PETROL,927000,2021,1462,No,Automatic,16992,1,Petrol,4,2
2020 Maruti S PRESSO VXI CNG,416000,2020,998,Yes,Manual,37608,1,CNG,11,0
2014 Maruti Swift Dzire ZDI,525000,2014,1248,Yes,Manual,11144,1,Diesel,13,7
2017 Maruti Wagon R 1.0 VXI OPT,371000,2017,998,Yes,Manual,43944,2,Petrol,14,0
2014 Maruti Wagon R 1.0 LXI CNG,287000,2014,998,No,Manual,105898,2,CNG,30,0
2017 Maruti Wagon R 1.0 VXI,379000,2017,998,No,Manual,34793,1,Petrol,16,0
2021 Maruti New Wagon-R LXI CNG 1.0,562000,2021,998,Yes,Manual,30981,1,CNG,5,3
2014 Maruti Wagon R 1.0 LXI CNG,333000,2014,998,Yes,Manual,95135,1,CNG,0,0
2021 Maruti New Wagon-R LXI CNG (O) 1.0,586000,2021,998,Yes,Manual,36188,1,CNG,8,1
2023 Maruti New Wagon-R VXI 1.0 AMT,723000,2023,998,Yes,Automatic,3883,1,Petrol,1,0
2020 Maruti Ciaz ALPHA AT 1.5 SHVS PETROL,879000,2020,1462,Yes,Automatic,31176,1,Petrol,7,3
2018 Maruti Swift VXI AMT,506000,2018,1197,Yes,Automatic,77150,1,Petrol,13,2
2023 Maruti XL6 ZETA CNG,1225000,2023,1462,Yes,Manual,21141,1,CNG,0,0
2020 Maruti New Wagon-R LXI CNG 1.0,529000,2020,998,Yes,Manual,25230,1,CNG,5,3
2014 Maruti Swift VXI,392000,2014,1197,Yes,Manual,29876,1,Petrol,20,6
2015 Maruti Swift VXI,381000,2015,1197,Yes,Manual,76928,2,Petrol,9,3
2018 Maruti Dzire VXI AMT,562000,2018,1197,Yes,Automatic,51852,1,Petrol,15,3
2017 Maruti Wagon R 1.0 VXI,351000,2017,998,No,Manual,19081,1,Petrol,32,2
2012 Maruti Wagon R 1.0 VXI,234000,2012,998,No,Manual,42531,2,Petrol,22,0
2017 Maruti Baleno ALPHA DIESEL 1.3,556000,2017,1248,Yes,Manual,73649,1,Diesel,19,1
2019 Maruti New Wagon-R VXI 1.2,462000,2019,1197,Yes,Manual,11829,2,Petrol,10,4
2016 Maruti Ertiga VXI,679000,2016,1373,No,Manual,43851,1,Petrol,1,0
2014 Maruti Wagon R 1.0 LXI,280000,2014,998,Yes,Manual,67447,1,Petrol,16,3
2014 Maruti Ertiga VDI,591000,2014,1248,Yes,Manual,119998,2,Diesel,18,5
2023 Maruti BREZZA ZXI SMART HYBRID,1231000,2023,1462,Yes,Manual,10234,1,Petrol,0,0
2021 Maruti New Wagon-R VXI 1.2,536000,2021,1197,Yes,Manual,18693,1,Petrol,9,2
2019 Maruti Baleno ZETA CVT PETROL 1.2,630000,2019,1197,Yes,Automatic,16282,2,Petrol,2,2
2021 Maruti New Wagon-R LXI CNG 1.0,562000,2021,998,Yes,Manual,27051,1,CNG,8,1
2020 Maruti S PRESSO VXI (O) AMT,454000,2020,998,Yes,Automatic,13440,1,Petrol,13,0
2021 Maruti New Wagon-R LXI CNG (O) 1.0,574000,2021,998,Yes,Manual,39613,1,CNG,16,3
2022 Maruti IGNIS ZETA 1.2,620000,2022,1197,Yes,Manual,6992,1,Petrol,1,2
2014 Maruti Wagon R 1.0 VXI,304000,2014,998,Yes,Manual,42307,1,Petrol,11,0
2017 Maruti Alto 800 LXI CNG,282000,2017,796,Yes,Manual,83469,1,CNG,2,5
2022 Maruti XL6 ALPHA AT,1213000,2022,1462,Yes,Automatic,24494,1,Petrol,1,0
2021 Maruti XL6 ALPHA MT,1016000,2021,1462,Yes,Manual,48740,1,Petrol,0,0
2015 Maruti Ciaz ZXI,476000,2015,1373,Yes,Manual,85633,1,Petrol,7,0
2022 Maruti Ertiga ZXI (O) CNG,1155000,2022,1373,No,Manual,20619,1,CNG,1,0
2014 Maruti Alto 800 LXI,214000,2014,796,No,Manual,40783,1,Petrol,3,2
2014 Maruti Alto K10 VXI,207000,2014,998,Yes,Manual,31827,2,Petrol,12,4
2015 Maruti Swift Dzire VXI,369000,2015,1197,No,Manual,84530,1,Petrol,18,1
2017 Maruti Baleno ZETA PETROL 1.2,454000,2017,1197,Yes,Manual,49544,2,Petrol,25,2
2020 Maruti Baleno DELTA PETROL 1.2,583000,2020,1197,No,Manual,33723,1,Petrol,9,0
2014 Maruti Swift VXI,333000,2014,1197,Yes,Manual,69389,1,Petrol,10,6
2013 Maruti Swift Dzire VXI,378000,2013,1197,Yes,Manual,33244,1,Petrol,7,6
2017 Maruti Swift Dzire ZXI,519000,2017,1197,Yes,Manual,34196,1,Petrol,1,0
2017 Maruti Alto 800 LXI CNG O,285000,2017,796,No,Manual,76356,1,CNG,8,9
2016 Maruti Ciaz ZXI+ AT,567000,2016,1373,Yes,Automatic,90742,1,Petrol,9,3
2015 Maruti Alto K10 VXI,243000,2015,998,No,Manual,51243,2,Petrol,6,1
2014 Maruti Celerio VXI AMT,306000,2014,998,No,Automatic,76296,1,Petrol,18,3
2018 Maruti Wagon R 1.0 LXI CNG,388000,2018,998,Yes,Manual,48605,2,CNG,10,2
2020 Maruti New Wagon-R VXI 1.2,511000,2020,1197,Yes,Manual,20785,1,Petrol,3,1
2014 Maruti Wagon R 1.0 VXI,270000,2014,998,Yes,Manual,53375,1,Petrol,8,1
2016 Maruti Baleno DELTA DIESEL 1.3,546000,2016,1248,Yes,Manual,62767,1,Diesel,9,1
2015 Maruti Ertiga VXI CNG,665000,2015,1373,No,Manual,31504,1,CNG,10,4
2017 Maruti Celerio ZXI,388000,2017,998,No,Manual,27882,1,Petrol,16,4
2014 Maruti Swift Dzire VXI,390000,2014,1197,Yes,Manual,42022,1,Petrol,13,7
2017 Maruti Celerio VXI CNG,403000,2017,998,No,Manual,79682,1,CNG,17,1
2017 Maruti Wagon R 1.0 VXI AMT,366000,2017,998,Yes,Automatic,65289,1,Petrol,13,0
2013 Maruti Wagon R 1.0 LXI CNG,286000,2013,998,No,Manual,80601,1,CNG,28,9
2014 Maruti Celerio VXI AMT,329000,2014,998,Yes,Automatic,32718,1,Petrol,15,0
2017 Maruti Baleno ZETA CVT PETROL 1.2,521000,2017,1197,No,Automatic,77650,1,Petrol,25,8
2021 Maruti Baleno ZETA CVT PETROL 1.2,779000,2021,1197,Yes,Automatic,14683,1,Petrol,1,0
2013 Maruti Wagon R 1.0 LXI CNG,267000,2013,998,No,Manual,75349,2,CNG,13,5
2021 Maruti New Wagon-R LXI CNG 1.0,570000,2021,998,Yes,Manual,13032,1,CNG,4,0
2022 Maruti S PRESSO VXI (O) CNG,488000,2022,998,No,Manual,31772,1,CNG,3,0
2018 Maruti IGNIS ZETA 1.2 AMT,467000,2018,1197,Yes,Automatic,76787,2,Petrol,6,1
2016 Maruti Ertiga VXI,689000,2016,1373,Yes,Manual,69763,1,CNG,12,3
2016 Maruti Alto 800 LXI,251000,2016,796,Yes,Manual,45935,2,Petrol,19,1
2020 Maruti New Wagon-R LXI CNG 1.0,497000,2020,998,Yes,Manual,12950,2,CNG,7,2
2016 Maruti Celerio VXI CNG,385000,2016,998,No,Manual,90267,2,CNG,14,1
2017 Maruti Baleno DELTA PETROL 1.2,515000,2017,1197,No,Manual,35708,1,Petrol,8,6
2013 Maruti Wagon R 1.0 LXI,299000,2013,998,No,Manual,44009,1,Petrol,8,2
2016 Maruti Swift VXI,493000,2016,1197,Yes,Manual,71405,1,Petrol,6,2
2014 Maruti Swift VXI,428000,2014,1197,Yes,Manual,17595,2,Petrol,0,0
2019 Maruti Alto VXI,385000,2019,796,Yes,Manual,8064,1,Petrol,5,2
2013 Maruti Alto 800 LXI CNG,243000,2013,796,Yes,Manual,90913,1,CNG,9,14
2021 Maruti New Wagon-R LXI CNG (O) 1.0,585000,2021,998,Yes,Manual,51151,1,CNG,3,1
2013 Maruti Swift VXI,351000,2013,1197,No,Manual,87034,2,Petrol,0,0
2017 Maruti Celerio ZXI,331000,2017,998,Yes,Manual,60005,3,Petrol,4,13
2022 Maruti S PRESSO VXI+,470000,2022,998,Yes,Manual,16213,1,Petrol,0,0
2013 Maruti Alto K10 LXI,245000,2013,998,Yes,Manual,18101,1,Petrol,0,0
2015 Maruti Wagon R 1.0 VXI,358000,2015,998,No,Manual,56620,1,Petrol,6,1
2022 Maruti IGNIS DELTA 1.2,612000,2022,1197,Yes,Manual,7097,1,Petrol,1,0
2017 Maruti Dzire ZXI AMT,621000,2017,1197,Yes,Automatic,37274,1,Petrol,8,2
2023 Maruti BREZZA VXI SMART HYBRID,973000,2023,1462,Yes,Manual,21217,1,Petrol,1,2
2018 Maruti IGNIS DELTA 1.2,409000,2018,1197,No,Manual,54728,1,Petrol,22,17
2015 Maruti Swift Dzire VXI,468000,2015,1197,Yes,Manual,96263,1,Petrol,0,0
2011 Maruti Alto K10 VXI,170000,2011,998,No,Manual,123621,2,Petrol,25,6
2015 Maruti Alto K10 VXI AMT,319000,2015,998,No,Automatic,30634,1,Petrol,10,6
2018 Maruti IGNIS SIGMA 1.2,381000,2018,1197,Yes,Manual,57747,1,Petrol,26,5
2016 Maruti Swift VXI,476000,2016,1197,Yes,Manual,52736,1,Petrol,12,5
2016 Maruti Swift ZXI,448000,2016,1197,Yes,Manual,64434,2,Petrol,17,8
2017 Maruti Swift VXI,454000,2017,1197,No,Manual,42316,2,Petrol,0,0
2017 Maruti Baleno ZETA PETROL 1.2,518000,2017,1197,Yes,Manual,110283,2,Petrol,7,4
2017 Maruti Alto K10 LXI CNG (AIRBAG),327000,2017,998,Yes,Manual,98581,2,CNG,0,0
2018 Maruti Celerio VXI CNG,435000,2018,998,No,Manual,90082,2,CNG,0,0
2018 Maruti Dzire VDI AMT,652000,2018,1248,Yes,Automatic,100984,1,Diesel,0,0
2018 Maruti Dzire VDI,635000,2018,1248,No,Manual,83762,2,Diesel,0,0
2019 Maruti Baleno DELTA PETROL 1.2,524000,2019,1197,Yes,Manual,39639,2,Petrol,19,12
2014 Maruti Celerio ZXI,330000,2014,998,No,Manual,37678,1,Petrol,18,5
2017 Maruti Wagon R 1.0 VXI (O) AMT,347000,2017,998,Yes,Automatic,70769,2,Petrol,17,7
2019 Maruti Celerio ZXI,439000,2019,998,No,Manual,37817,1,Petrol,7,5
2013 Maruti Swift VXI,357000,2013,1197,No,Manual,88376,1,Petrol,0,0
2017 Maruti Alto K10 VXI,347000,2017,998,Yes,Manual,32701,1,Petrol,4,2
2021 Maruti XL6 ZETA MT,976000,2021,1462,Yes,Manual,19967,1,Petrol,2,0
2015 Maruti Celerio ZXI (O),375000,2015,998,Yes,Manual,27204,1,Petrol,16,4
2013 Maruti Swift Dzire ZDI,544000,2013,1248,Yes,Manual,96999,1,Diesel,11,4
2017 Maruti Celerio ZXI AMT (O),404000,2017,998,Yes,Automatic,67082,1,Petrol,1,12
2019 Maruti IGNIS DELTA 1.2,449000,2019,1197,No,Manual,69689,1,Petrol,13,6
2020 Maruti Baleno DELTA CVT PETROL 1.2,677000,2020,1197,Yes,Automatic,32117,2,Petrol,16,3
2019 Maruti Celerio VXI CNG,500000,2019,998,Yes,Manual,59169,1,CNG,0,0
2014 Maruti Swift Dzire VXI,435000,2014,1197,No,Manual,63296,1,Petrol,0,0
2020 Maruti IGNIS ZETA 1.2 AMT,547000,2020,1197,No,Automatic,58158,1,Petrol,6,6
2017 Maruti Swift VXI,453000,2017,1197,Yes,Manual,116084,1,Petrol,0,0
2017 Maruti Baleno ALPHA PETROL 1.2,535000,2017,1197,Yes,Manual,69911,2,Petrol,6,3
2011 Maruti Swift Dzire ZXI,307000,2011,1197,Yes,Manual,39721,2,Petrol,18,14
2014 Maruti Alto K10 LXI,234000,2014,998,No,Manual,53066,1,Petrol,13,4
2020 Maruti New Wagon-R VXI 1.0 AMT,470000,2020,998,Yes,Automatic,52105,1,Petrol,9,2
2017 Maruti Ciaz SIGMA 1.4 MT PETROL,579000,2017,1373,No,Manual,51872,1,Petrol,7,9
2021 Maruti Celerio ZXI (O),491000,2021,998,Yes,Manual,38233,1,Petrol,13,2
2013 Maruti Swift Dzire VDI,454000,2013,1248,Yes,Manual,100777,1,Diesel,20,9
2022 Maruti Baleno ALPHA 1.2 AGS,921000,2022,1197,Yes,Automatic,27338,1,Petrol,3,0
2013 Maruti Wagon R 1.0 LXI,287000,2013,998,No,Manual,75649,2,Petrol,0,0
2020 Maruti Ciaz DELTA 1.5 SHVS MT PETROL,737000,2020,1462,No,Manual,63804,1,Petrol,7,5
2019 Maruti New Wagon-R ZXI 1.2 AMT,497000,2019,1197,Yes,Automatic,71773,1,Petrol,6,6
2017 Maruti Alto 800 LXI,294000,2017,796,No,Manual,69275,1,Petrol,0,0
2012 Maruti Alto K10 VXI,193000,2012,998,Yes,Manual,72136,2,Petrol,15,7
2020 Maruti Celerio VXI (O) CNG,552000,2020,998,Yes,Manual,37683,1,CNG,11,4
2022 Maruti Vitara Brezza ZXI PLUS AT SHVS,1089000,2022,1462,Yes,Automatic,11953,1,Petrol,11,0
2012 Maruti Wagon R 1.0 LXI CNG,285000,2012,998,Yes,Manual,105803,1,CNG,14,0
2020 Maruti S PRESSO VXI CNG,429000,2020,998,Yes,Manual,41534,1,CNG,6,4
2022 Maruti IGNIS DELTA 1.2,565000,2022,1197,Yes,Manual,11679,1,Petrol,7,2
2018 Maruti Baleno ALPHA PETROL 1.2,588000,2018,1197,Yes,Manual,44226,1,Petrol,4,8
2018 Maruti Celerio VXI (O) CNG,434000,2018,998,No,Manual,108085,2,CNG,20,9
2023 Maruti BREZZA ZXI SMART HYBRID DUAL TONE,1220000,2023,1462,Yes,Manual,8892,1,Petrol,0,0
2020 Maruti Ciaz ALPHA AT 1.5 SHVS PETROL,886000,2020,1462,Yes,Automatic,28539,1,Petrol,15,2
2016 Maruti Ciaz VXI,600000,2016,1373,Yes,Manual,39516,1,Petrol,11,7
2017 Maruti Alto K10 VXI (O) AMT,318000,2017,998,Yes,Automatic,51875,2,Petrol,7,5
2015 Maruti Ciaz ZXI AT,522000,2015,1373,No,Automatic,80161,2,Petrol,14,7
2016 Maruti Wagon R 1.0 VXI,373000,2016,998,Yes,Manual,78845,1,Petrol,8,2
2016 Maruti Celerio ZXI AMT,393000,2016,998,Yes,Automatic,94780,2,Petrol,15,11
2019 Maruti Celerio VXI AMT,466000,2019,998,Yes,Automatic,36411,2,Petrol,9,0
2015 Maruti Ciaz VXI+,519000,2015,1373,Yes,Manual,77033,2,Petrol,12,7
2022 Maruti S PRESSO VXI (O) CNG,484000,2022,998,Yes,Manual,20971,1,CNG,5,1
2020 Maruti S PRESSO VXI PLUS AMT,446000,2020,998,Yes,Automatic,17104,1,Petrol,3,1
2017 Maruti Dzire ZXI AMT,560000,2017,1197,Yes,Automatic,99905,1,Petrol,13,9
2016 Maruti Ciaz ZXI,578000,2016,1373,Yes,Manual,50044,1,Petrol,9,5
2023 Maruti New Wagon-R VXI 1.0 AMT,651000,2023,998,No,Automatic,12621,1,Petrol,6,1
2019 Maruti S PRESSO VXI AMT,441000,2019,998,Yes,Automatic,27670,2,Petrol,1,3
2023 Maruti S PRESSO VXI PLUS (O) AMT,552000,2023,998,Yes,Automatic,1207,1,Petrol,1,0
2012 Maruti Swift Dzire VDI,450000,2012,1248,Yes,Manual,100146,1,Diesel,31,9
2013 Maruti Wagon R 1.0 LXI,297000,2013,998,Yes,Manual,44631,1,Petrol,0,0
2018 Maruti Ciaz ZETA 1.4 AT PETROL,664000,2018,1373,No,Automatic,85512,1,Petrol,6,12
2022 Maruti S PRESSO VXI+,483000,2022,998,Yes,Manual,13814,1,Petrol,1,0
2014 Maruti Swift Dzire VXI,412000,2014,1197,Yes,Manual,124716,1,Petrol,0,0
2018 Maruti Celerio X ZXI (O) AMT,413000,2018,998,Yes,Automatic,41964,2,Petrol,6,1
2019 Maruti New Wagon-R VXI (O) 1.0,475000,2019,998,No,Manual,57936,1,Petrol,13,6
2011 Maruti Wagon R 1.0 LXI,245000,2011,998,No,Manual,85612,1,Petrol,19,12
2015 Maruti Wagon R 1.0 VXI,345000,2015,998,Yes,Manual,52911,1,Petrol,23,6
2023 Maruti XL6 ALPHA PLUS MT,1258000,2023,1462,Yes,Manual,28161,1,Petrol,1,0
2014 Maruti Swift Dzire VXI,456000,2014,1197,Yes,Manual,41277,1,Petrol,4,1
2020 Maruti Vitara Brezza ZXI PLUS AT SHVS,936000,2020,1462,Yes,Automatic,39121,1,Petrol,0,0
2018 Maruti Celerio X ZXI,462000,2018,998,No,Manual,31440,1,Petrol,15,5
2022 Maruti XL6 ALPHA PLUS AT,1408000,2022,1462,Yes,Automatic,10786,1,Petrol,0,0
2012 Maruti Wagon R 1.0 LXI,266000,2012,998,Yes,Manual,71136,1,Petrol,29,4
2021 Maruti Celerio VXI,501000,2021,998,Yes,Manual,45951,2,Petrol,9,12
2016 Maruti Wagon R 1.0 VXI AMT,361000,2016,998,Yes,Automatic,62835,2,Petrol,4,6
2016 Maruti Wagon R 1.0 VXI AMT,358000,2016,998,No,Automatic,85873,2,Petrol,23,4
2012 Maruti Wagon R 1.0 LXI,278000,2012,998,Yes,Manual,63196,1,Petrol,0,0
2012 Maruti Wagon R 1.0 LXI,266000,2012,998,Yes,Manual,79028,1,Petrol,26,3
2018 Maruti Celerio X ZXI (O),510000,2018,998,No,Manual,22237,1,Petrol,9,21
2014 Maruti Wagon R 1.0 LXI CNG,358000,2014,998,Yes,Manual,82634,1,CNG,0,0
2014 Maruti Swift VXI,431000,2014,1197,No,Manual,55450,2,Petrol,0,0
2019 Maruti New Wagon-R LXI CNG 1.0,489000,2019,998,No,Manual,63339,2,CNG,0,0
2013 Maruti Ertiga VXI,547000,2013,1373,No,Manual,48598,1,Petrol,3,1
2016 Maruti Swift Dzire ZXI,525000,2016,1197,No,Manual,31322,2,Petrol,9,3
2014 Maruti Swift VXI,377000,2014,1197,Yes,Manual,80409,1,Petrol,0,0
2016 Maruti Swift VXI,472000,2016,1197,Yes,Manual,75058,1,Petrol,22,2
2014 Maruti Alto 800 LXI,211000,2014,796,Yes,Manual,60963,1,Petrol,21,7
2017 Maruti Celerio VXI (O) CNG,378000,2017,998,Yes,Manual,78252,2,CNG,0,0
2017 Maruti Alto K10 VXI (O) AMT,323000,2017,998,Yes,Automatic,70605,1,Petrol,0,0
2016 Maruti Alto K10 VXI AMT,297000,2016,998,Yes,Automatic,94154,2,Petrol,8,9
2022 Maruti Baleno DELTA PETROL 1.2,710000,2022,1197,Yes,Manual,25919,1,Petrol,0,0
2014 Maruti Swift Dzire VXI,485000,2014,1197,No,Manual,27791,1,Petrol,8,2
2020 Maruti Celerio VXI (O) CNG,565000,2020,998,Yes,Manual,40609,1,CNG,6,4
2017 Maruti Ciaz VXI+,520000,2017,1373,No,Manual,62978,1,Petrol,4,2
2017 Maruti Wagon R 1.0 LXI CNG,397000,2017,998,Yes,Manual,115719,2,CNG,0,0
2017 Maruti Baleno DELTA PETROL 1.2,544000,2017,1197,No,Manual,27135,1,Petrol,23,2
2014 Maruti Wagon R 1.0 LXI CNG,356000,2014,998,Yes,Manual,65835,1,CNG,15,11
2018 Maruti Celerio VXI (O) CNG,488000,2018,998,Yes,Manual,57098,1,CNG,9,1
2017 Maruti IGNIS ALPHA 1.2,449000,2017,1197,No,Manual,34421,2,Petrol,4,9
2021 Maruti Baleno ZETA CVT PETROL 1.2,825000,2021,1197,No,Automatic,4744,1,Petrol,0,0
2014 Maruti Wagon R Stingray VXI,294000,2014,998,No,Manual,80360,2,Petrol,17,7
2019 Maruti New Wagon-R VXI 1.0 AMT,496000,2019,998,Yes,Automatic,32605,2,Petrol,14,5
2015 Maruti Wagon R 1.0 VXI,349000,2015,998,No,Manual,43688,1,Petrol,15,9
2017 Maruti Wagon R 1.0 LXI CNG,414000,2017,998,No,Manual,58845,2,CNG,28,3
2018 Maruti Ciaz SIGMA 1.4 MT PETROL,641000,2018,1373,No,Manual,23948,1,Petrol,5,1
2018 Maruti Baleno DELTA PETROL 1.2,484000,2018,1197,Yes,Manual,98346,1,Petrol,7,3
2016 Maruti Swift VXI,469000,2016,1197,Yes,Manual,62561,1,Petrol,10,5
2020 Maruti New Wagon-R LXI CNG 1.0,525000,2020,998,Yes,Manual,61137,1,CNG,11,7
2014 Maruti Alto 800 LXI,181000,2014,796,No,Manual,107619,3,CNG,18,6
2012 Maruti Swift Dzire VXI,362000,2012,1197,Yes,Manual,64036,1,Petrol,2,4
2013 Maruti Ertiga VXI CNG,587000,2013,1373,Yes,Manual,69001,1,CNG,8,2
2016 Maruti Celerio VXI CNG,426000,2016,998,Yes,Manual,10347,1,CNG,17,5
2015 Maruti Alto K10 VXI AMT,296000,2015,998,Yes,Automatic,31342,2,Petrol,9,3
2015 Maruti Swift Dzire VDI ABS,602000,2015,1248,Yes,Manual,70911,1,Diesel,11,3
2012 Maruti Swift VDI,439000,2012,1248,No,Manual,82541,1,Diesel,8,11
